Date,Open,High,Low,Close,Adj Close,Volume,ln(close)
2017/10/3,20475.25,20628.38086,20438.16992,20614.07031,20614.07031,72800,9.933729147
2017/10/4,20660.81055,20689.08008,20592.17969,20626.66016,20626.66016,73500,9.9343397
2017/10/5,20650.71094,20667.4707,20602.25977,20628.56055,20628.56055,57300,9.934431829
2017/10/6,20716.84961,20721.15039,20659.15039,20690.71094,20690.71094,75900,9.937440132
2017/10/10,20680.53906,20823.66016,20663.08008,20823.50977,20823.50977,78300,9.943837905
2017/10/11,20803.71094,20898.41016,20788.11914,20881.26953,20881.26953,80200,9.946607841
2017/10/12,20958.17969,20994.40039,20917.03906,20954.7207,20954.7207,80400,9.950119232
2017/10/13,20959.66016,21211.28906,20933,21155.17969,21155.17969,110500,9.959640057
2017/10/16,21221.26953,21347.07031,21187.92969,21255.56055,21255.56055,102300,9.964373813
2017/10/17,21352.16992,21393.96094,21230.66992,21336.11914,21336.11914,92400,9.96815665
2017/10/18,21374.66016,21402.75977,21317.66992,21363.05078,21363.05078,72700,9.96941811
2017/10/19,21450.03906,21503.84961,21381.51953,21448.51953,21448.51953,84600,9.973410902
2017/10/20,21390.94922,21489.25977,21363.09961,21457.64063,21457.64063,85700,9.973836067
2017/10/23,21709.30078,21723.59961,21614.50977,21696.65039,21696.65039,87400,9.984913168
2017/10/24,21670,21805.16992,21646.51953,21805.16992,21805.16992,88200,9.989902373
2017/10/25,21900.13086,21921.35938,21648.34961,21707.61914,21707.61914,122000,9.98541859
2017/10/26,21698.94922,21793.61914,21688.56055,21739.7793,21739.7793,82600,9.986899009
2017/10/27,21903.26953,22016.5,21815.7207,22008.44922,22008.44922,120400,9.999181714
2017/10/30,22047.94922,22086.88086,21921.24023,22011.66992,22011.66992,135600,9.999328043
2017/10/31,21897.28906,22020.38086,21840.07031,22011.60938,22011.60938,102400,9.999325292
2017/11/1,22144.91992,22455.91992,22130.0293,22420.08008,22420.08008,112600,10.01771227
2017/11/2,22512.17969,22540.25,22400.00977,22539.11914,22539.11914,105700,10.02300771
2017/11/3,22512.17969,22540.25,22400.00977,22539.11914,22539.11914,0,10.02300771
2017/11/6,22612.96094,22644.67969,22435.33984,22548.34961,22548.34961,111900,10.02341715
2017/11/7,22518.75,22953.17969,22512.91016,22937.59961,22937.59961,107800,10.04053275
2017/11/8,22849.91016,22922.80078,22759.07031,22913.82031,22913.82031,100200,10.03949551
2017/11/9,22989.43945,23382.15039,22522.83008,22868.71094,22868.71094,160400,10.03752492
2017/11/10,22580.69922,22724.39063,22511.92969,22681.41992,22681.41992,106600,10.02930136
2017/11/13,22607.56055,22607.91992,22380.99023,22380.99023,22380.99023,80700,10.01596723
2017/11/14,22342.92969,22532.30078,22323.24023,22380.00977,22380.00977,95900,10.01592342
2017/11/15,22250.98047,22305.24023,22004.78906,22028.32031,22028.32031,120600,10.00008419
2017/11/16,21975.23047,22392.13086,21972.33984,22351.11914,22351.11914,96600,10.01463167
2017/11/17,22603.30078,22757.40039,22319.11914,22396.80078,22396.80078,113700,10.01667341
2017/11/20,22279.98047,22410.24023,22215.07031,22261.75977,22261.75977,71700,10.01062568
2017/11/21,22456.78906,22563.25,22416.48047,22416.48047,22416.48047,76100,10.0175517
2017/11/22,22601.55078,22677.33984,22513.43945,22523.15039,22523.15039,81100,10.02229897
2017/11/24,22390.14063,22567.19922,22381.00977,22550.84961,22550.84961,64800,10.02352802
2017/11/27,22657.08008,22659.33008,22423.40039,22495.99023,22495.99023,66600,10.02109236
2017/11/28,22474.74023,22580.99023,22363.93945,22486.24023,22486.24023,76800,10.02065886
2017/11/29,22613.96094,22643.92969,22537.11914,22597.19922,22597.19922,90700,10.02558125
2017/11/30,22601.83008,22748.32031,22502.67969,22724.96094,22724.96094,140700,10.0312192
2017/12/1,22916.92969,22994.31055,22675.07031,22819.0293,22819.0293,89700,10.03535009
2017/12/4,22843.5293,22864.33008,22693.99023,22707.16016,22707.16016,68900,10.03043558
2017/12/5,22595.33008,22682.71094,22522.2793,22622.38086,22622.38086,75900,10.026695
2017/12/6,22525.38086,22528.21094,22119.21094,22177.03906,22177.03906,97300,10.00681276
2017/12/7,22317.15039,22515.24023,22317.15039,22498.0293,22498.0293,79500,10.021183
2017/12/8,22627.94922,22819.71094,22625.41016,22811.08008,22811.08008,106900,10.03500167
2017/12/11,22894.30078,22938.73047,22787.40039,22938.73047,22938.73047,69500,10.04058205
2017/12/12,22936.41016,22994.33008,22834.89063,22866.16992,22866.16992,86100,10.0374138
